Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4f13.(2F*<7/2>).5d.6p.(1P*<1>)""","=""(7/2,1)""","=""9/2""","="" 78070.19""","=""""","=""1.10""","=""  52                :    26  (2F*<7/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(1P*<1>)""","=""(7/2,1)""","=""7/2""","="" 79628.71""","=""""","=""1.11""","=""  55                :    26  (2F*<7/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""""","=""3/2""","="" 78464.76""","=""""","=""1.18""","=""  23  (5/2,2)       :    18                                 (2F*<5/2>)(3P*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<0>)""","=""""","=""5/2""","="" 79583.11""","=""""","=""0.68""","=""  27  (5/2,0)       :    20                                 (2F*<5/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<1>)""","=""""","=""3/2""","="" 79605.95""","=""""","=""1.16""","=""  29  (5/2,1)       :    24                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<1>)""","=""""","=""7/2""","="" 80457.71""","=""""","=""0.99""","=""  33  (5/2,1)       :    19                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f14.6f""","=""2F*""","=""5/2""","="" 80458.95""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.6f""","=""2F*""","=""7/2""","="" 80471.80""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.5g""","=""2G""","=""7/2,9/2""","="" 80607.45""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""(5/2,3)""","=""9/2""","="" ""","=""""","=""""","=""  85                :    10                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""(5/2,3)""","=""11/2""","="" 80679.18""","=""""","=""1.00?""","=""  55                :    30                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""(5/2,3)""","=""1/2""","="" 82091.32""","=""""","=""""","=""  65                :    11                                 (2F*<7/2>)(3F*<4>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""(5/2,3)""","=""3/2""","="" 82398.98""","=""""","=""1.042""","=""  60                :     9                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""(5/2,3)""","=""5/2""","="" 82891.80""","=""""","=""1.03?""","=""  54                :    10                                 (2F*<5/2>)(3P*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1F*<3>)""","=""(5/2,3)""","=""7/2""","="" 83363.88""","=""""","=""0.97""","=""  86                :     8                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<2>)""","=""(5/2,2)""","=""1/2""","="" ""","=""""","=""""","=""  61                :    12                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<2>)""","=""(5/2,2)""","=""9/2""","="" 81205.27""","=""""","=""1.09""","=""  54                :    15                                 (2F*<5/2>)(3F*<4>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<2>)""","=""(5/2,2)""","=""5/2""","="" 81312.65""","=""""","=""1.11?""","=""  38                :    28                                 (2F*<5/2>)(1P*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<2>)""","=""(5/2,2)""","=""7/2""","="" 81692.92""","=""""","=""1.16""","=""  55                :    22                                 (2F*<5/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<1>)""","=""(5/2,1)""","=""3/2""","="" 81512.62""","=""""","=""0.48""","=""  46                :    31                                 (2F*<5/2>)(3P*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3P*<0>)""","=""""","=""5/2""","="" 81657.13""","=""""","=""""","=""  31  (5/2,0)       :    17                                 (2F*<5/2>)(3P*<2>)      ""","="""""
"=""4f14.8d""","=""2D""","=""3/2""","="" 83839.86""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.8d""","=""2D""","=""5/2""","="" 84015.98""","=""""","=""1.20""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 84217.85""","=""""","=""1.19""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 84444.07""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 84632.71""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.7f""","=""2F*""","=""5/2""","="" 85898.13""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.7f""","=""2F*""","=""7/2""","="" 85906.20""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.6g""","=""2G""","=""7/2,9/2""","="" 85994.92""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 86148.67""","=""""","=""1.575""","=""                                                                                    ""","="""""
"=""""","=""*""","=""3/2""","="" 86226.31""","=""""","=""1.35""","=""                                                                                    ""","="""""
"=""4f14.10s""","=""2S""","=""1/2""","="" 86768.26""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 87385.74""","=""""","=""1.14""","=""                                                                                    ""","="""""
"=""4f14.9d""","=""2D""","=""3/2""","="" 87804.88""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.9d""","=""2D""","=""5/2""","="" 87980.96""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 88702.97""","=""""","=""1.08?""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 88721.12""","=""""","=""1.17""","=""                                                                                    ""","="""""
"=""4f14.8f""","=""2F*""","=""5/2""","="" 89175.85""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.8f""","=""2F*""","=""7/2""","="" 89185.44""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 89605.80""","=""""","=""0.94?""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 89615.59""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1P*<1>)""","=""(5/2,1)""","=""3/2""","="" ""","=""""","=""""","=""  62                :    31  (2F*<5/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1P*<1>)""","=""(5/2,1)""","=""7/2""","="" ""","=""""","=""""","=""  58                :    30  (2F*<5/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1P*<1>)""","=""(5/2,1)""","=""5/2""","="" 89713.17""","=""""","=""""","=""  63                :    31  (2F*<5/2>).6s.6p.(1P*<1>)                              ""","="""""
"=""""","=""*""","=""3/2""","="" 89897.55""","=""""","=""1.01""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 90142.74""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 90209.67""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 90279.08""","=""""","=""1.12""","=""                                                                                    ""","="""""
"=""4f14.10d""","=""2D""","=""3/2""","="" 90414.35""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.10d""","=""2D""","=""5/2""","="" 90519.48""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 90717.54""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 90859.07""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 91237.94""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""13/2""","="" 91301.57""","=""""","=""1.22""","=""                                                                                    ""","="""""
"=""4f14.9f""","=""2F*""","=""7/2""","="" 91311.40""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.9f""","=""2F*""","=""5/2""","="" 91314.85""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 91536.40""","=""""","=""1.13?""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 91602.54""","=""""","=""1.17""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 92015.76""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.11d""","=""2D""","=""5/2""","="" 92219.53""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""3/2""","="" 92278.27""","=""""","=""1.49?""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 92303.24""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 92647.34""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.10f""","=""2F*""","=""5/2""","="" 92764.62""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.10f""","=""2F*""","=""7/2""","="" 92766.91""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 92914.15""","=""""","=""""","=""                                                                                    ""","="""""
