Wavelength,LL,LL Parity,LL J,UL,UL Parity,UL J,log gf,gA,CF
6120.321,64345,(o),6.5,80679,(e),5.5,0.39,4.42E+08,-0.771
6121.918,58661,(o),2.5,74991,(e),1.5,-1.11,1.40E+07,0.169
6122.99,37078,(o),2.5,53405,(e),2.5,-1.62,4.24E+06,-0.032
6123.688,48273,(o),2.5,64598,(e),3.5,-1.52,5.44E+06,-0.029
6124.652,53121,(o),2.5,69444,(e),1.5,-1.85,2.53E+06,-0.021
6126.194,58673,(o),0.5,74991,(e),1.5,-4,1.72E+04,-0.001
6126.397,47329,(o),2.5,63648,(e),1.5,-1.39,7.09E+06,0.061
6126.897,58673,(o),0.5,74989,(e),0.5,-1.87,2.36E+06,0.049
6127.941,64365,(o),4.5,80679,(e),5.5,-1.19,1.15E+07,-0.057
6128.177,46548,(o),5.5,62861,(e),5.5,-0.78,2.91E+07,-0.273
6128.534,53645,(o),3.5,69957,(e),4.5,-1.63,4.20E+06,0.024
6128.654,58661,(o),2.5,74973,(e),3.5,-2.88,2.41E+05,0.006
6131.549,61443,(o),5.5,77747,(e),4.5,-0.29,9.20E+07,-0.567
6132.956,62164,(o),2.5,78465,(e),1.5,-0.71,3.55E+07,0.221
6133.565,56481,(o),4.5,72780,(e),3.5,-2.12,1.38E+06,-0.042
6134.295,47759,(o),3.5,64056,(e),2.5,-0.86,2.41E+07,-0.154
6135.425,47664,(o),4.5,63958,(e),3.5,-3.11,1.37E+05,-0.007
6138.401,67585,(o),4.5,83871,(e),4.5,-2.1,1.38E+06,0.007
6140.557,47664,(o),4.5,63944,(e),5.5,-3.29,9.04E+04,0.001
6141.052,56501,(o),3.5,72780,(e),3.5,-3.41,6.81E+04,0
6142.836,53121,(o),2.5,69395,(e),3.5,-0.98,1.82E+07,0.136
6146.931,47680,(o),6.5,63944,(e),5.5,-0.43,6.69E+07,-0.277
6149.464,47912,(e),3.5,64169,(o),3.5,-2.93,2.07E+05,-0.01
6152.571,33052,(o),4.5,49301,(e),4.5,-0.65,3.98E+07,0.338
6153.188,55221,(o),1.5,71469,(e),2.5,-3.43,6.69E+04,0
6158.006,64971,(o),3.5,81205,(e),4.5,-2.28,9.20E+05,-0.004
6164.526,54641,(o),4.5,70858,(e),4.5,-2.23,1.06E+06,0.006
6164.872,57534,(o),3.5,73751,(e),4.5,-3.48,5.62E+04,0.001
6166.686,63417,(o),2.5,79629,(e),3.5,-2.31,8.73E+05,0.01
6167.332,66189,(o),1.5,82399,(e),1.5,-2.58,4.55E+05,-0.003
6169.563,37517,(o),3.5,53721,(e),4.5,-2,1.74E+06,-0.054
6170.758,59439,(o),2.5,75640,(e),3.5,-3.63,4.10E+04,-0.001
6171.638,37517,(o),3.5,53715,(e),3.5,-1.67,3.72E+06,0.024
6173.757,66206,(o),2.5,82399,(e),1.5,-0.56,4.70E+07,0.22
6174.711,49009,(o),3.5,65200,(e),4.5,-1.19,1.07E+07,-0.082
6175.355,63417,(o),2.5,79606,(e),1.5,-0.72,3.31E+07,0.28
6175.588,48273,(o),2.5,64461,(e),1.5,-1.19,1.13E+07,-0.087
6177.175,43075,(o),1.5,59259,(e),2.5,-3.77,3.00E+04,0
6178.634,57103,(o),3.5,73283,(e),4.5,-1.66,3.81E+06,-0.056
6178.806,44941,(o),1.5,61120,(e),0.5,-2.03,1.66E+06,0.018
6183.231,57799,(o),2.5,73967,(e),3.5,-2.95,1.93E+05,0.004
6184.08,63417,(o),2.5,79583,(e),2.5,-1.88,2.22E+06,-0.027
6184.206,49917,(o),4.5,66082,(e),5.5,-2.34,7.86E+05,-0.013
6187.073,52922,(o),3.5,69080,(e),2.5,-1.58,4.71E+06,-0.05
6188.624,63706,(o),0.5,79860,(e),0.5,-2.74,3.17E+05,-0.056
6189.034,54641,(o),4.5,70794,(e),5.5,-0.76,3.12E+07,0.23
6190.782,49727,(o),6.5,65876,(e),6.5,-0.18,1.14E+08,0.635
6191.161,49419,(o),0.5,65567,(e),0.5,-2.53,4.85E+05,0.02
6194.457,56978,(o),0.5,73117,(e),1.5,-2.35,7.53E+05,-0.076
6196.004,56481,(o),4.5,72616,(e),5.5,-1.7,3.53E+06,0.128
6198.413,59777,(o),1.5,75906,(e),0.5,-2.06,1.57E+06,-0.057
6204.206,56088,(o),4.5,72202,(e),3.5,-1.77,2.91E+06,-0.017
6204.891,59439,(o),2.5,75551,(e),2.5,-1.83,2.55E+06,-0.015
6205.939,46903,(o),0.5,63012,(e),1.5,-2.68,3.63E+05,-0.021
6206.482,58163,(o),1.5,74270,(e),2.5,-1.78,2.87E+06,-0.035
6208.101,50468,(o),5.5,66572,(e),5.5,-0.23,1.03E+08,0.339
6208.895,45273,(o),3.5,61374,(e),2.5,-1.52,5.19E+06,-0.031
6210.982,49498,(e),2.5,65594,(o),1.5,-3.06,1.53E+05,-0.015
6211.094,66796,(o),3.5,82892,(e),2.5,-2.07,1.52E+06,0.007
6212.275,64365,(o),4.5,80458,(e),3.5,-1.54,4.97E+06,-0.031
6212.503,52988,(o),1.5,69080,(e),2.5,-3.54,4.98E+04,0.002
6213.727,44498,(o),2.5,60586,(e),1.5,-2.97,1.89E+05,-0.01
6215.558,49009,(o),3.5,65093,(e),3.5,-0.74,3.05E+07,0.118
6215.624,58485,(o),4.5,74569,(e),4.5,-1.49,5.70E+06,-0.049
6216.141,52068,(o),0.5,68151,(e),1.5,-2.19,1.11E+06,0.05
